title,player_guess,score,matched_window
2025 Topps Update Gage Workman Rookie RC Auto Green Foil #/99 Tigers #US118,Gage Workman,100.0,gage workman
2025 Topps Update Maverick Handley   Rookie RC Independence Day #/75 Orioles,Maverick Handley,100.0,maverick handley
2025 Topps Update Jamie Westbrook Rookie RC Orange Foil #/25 Rays #US3,Jamie Westbrook,100.0,jamie westbrook
2025 Topps Update Ryan Gusto Rookie RC Green Foil #/99 Astros #US292,Ryan Gusto,100.0,ryan gusto
2025 Topps Update Curtis Mead  Green #/99 Rays #US41,Curtis Mead,100.0,curtis mead
2025 Topps Update Patrick Monteverde Rookie RC Green Foil #/99 Marlins #US211,Patrick Monteverde,100.0,patrick monteverde
2025 Topps Update Nick Kurtz Rookie RC 1990 Topps Foil Insert #U90-17 Athletics,Nick Kurtz,100.0,nick kurtz
2025 Topps Update Series Dylan Carlson Vintage Stock #/99 Orioles US181,Dylan Carlson,100.0,dylan carlson
2025 Topps Update Baseball Connor Joe Gold Foil # /50 Reds #US58,Connor Joe,100.0,connor joe
2025 Topps Update Ronny Simon Rookie RC Green #/99 Pirates #US111,Ronny Simon,100.0,ronny simon
2025 Topps Update Daniel Robert Rookie RC Green #/99 Rangers #US304,Daniel Robert,100.0,daniel robert
2025 Topps Update Kris Bubic Blue Rainbow Foil #/150 Royals #US83,Kris Bubic,100.0,kris bubic
2025 Topps Update Levi Jordan Rookie RC Blue Foil #/150 Reds #US6,Levi Jordan,100.0,levi jordan
2025 Topps Update Maverick Handley   Rookie RC Blue Foil #/150 Orioles #US274,Maverick Handley,100.0,maverick handley
2025 Topps Update Tanner Gordon Rookie RC Blue #/150 Rockies #US8,Tanner Gordon,100.0,tanner gordon
2025 Topps Update Thomas Harrington Rookie RC Blue #/150 Pirates #US273,Thomas Harrington,100.0,thomas harrington
2025 Topps Update Craig Yoho  Rookie RC Blue #/150 Brewers #US261,Craig Yoho,100.0,craig yoho
2025 Topps Update Alejandro Osuna Rookie RC Blue #/150 Rangers  #US10,Alejandro Osuna,100.0,alejandro osuna
2025 Topps Update Daniel Robert Rookie RC Purple Holofoil #/250 Rangers #US304,Daniel Robert,100.0,daniel robert
2025 Topps Update Drake Baldwin Holo Foil RC Rookie Debut #US113 Braves,Drake Baldwin,100.0,drake baldwin
2025 Topps Update  J.C. Escarra Rookie RC Purple Refractor #/250 Yankees #US96,J.C. Escarra,100.0,j c escarra
2025 Topps Update Aaron Judge 1990 Topps Foil #U90-30 Yankees,Aaron Judge,100.0,aaron judge
2025 Topps Update Orlando Ribalta Rookie RC Purple Foil #/250 Nationals #US203,Orlando Ribalta,100.0,orlando ribalta
2025 Topps Update Carson Palmquist Rookie RC Purple #/250 Rockies #US321,Carson Palmquist,100.0,carson palmquist
2025 Topps Update Jose Fermin Rookie RC Purple #/250 Angels  #US338,José Fermin,95.24,jose fermin
2025 Topps Update Patrick Monteverde Rookie RC Purple #/250 Marlins #US211,Patrick Monteverde,100.0,patrick monteverde
2025 Topps Update James Meeker Rookie RC Purple #/250 Brewers #US326,James Meeker,100.0,james meeker
2025 Topps Update Cade Gibson Rookie RC Purple #/250 Marlins  #US131,Cade Gibson,100.0,cade gibson
2025 Topps Update Carlos Duran Rookie RC Purple #/250 Athletics #US104,Carlos Duran,100.0,carlos duran
2025 Topps Update Manuel Margot Purple Foil #/250 Tigers #US42,Manuel Margot,100.0,manuel margot
2025 Topps Update Wilmer Flores Purple Rainbow Foil #/250 Giants #US160,Wilmer Flores,100.0,wilmer flores
2025 Topps Update Yaramil Hiraldo RC Blue Rainbow Foil /150 Orioles #US210,Yaramil Hiraldo,100.0,yaramil hiraldo
2025 Topps Update Aaron Judge Mystical Insert  #MYS-18 Yankees,Aaron Judge,100.0,aaron judge
2025 Topps Update Aaron Judge Bleacher Reachers Insert BR-4 Yankees,Aaron Judge,100.0,aaron judge
2025 Topps Update Aaron Judge All Star Game #ASG-2 Yankees,Aaron Judge,100.0,aaron judge
2025 Topps Update Series Nick Kurtz Rookie RC Base #US201 Athletics,Nick Kurtz,100.0,nick kurtz
2025 Topps Update Roki Sasaki Rookie RC 35th Anniversary Insert #U90-11 Dodgers,Roki Sasaki,100.0,roki sasaki
2025 Topps Update Braydon Fisher Rookie RC Gold #/2025 Blue Jays  #US89,Braydon Fisher,100.0,braydon fisher
2025 Topps Update Levi Jordan Rookie RC Gold #/2025 Reds #US6,Levi Jordan,100.0,levi jordan
2025 Topps Update Evan Sisk Rookie RC Gold #/2025 Royals #US176,Evan Sisk,100.0,evan sisk
2025 Topps Update Trenton Brooks  Rookie RC Gold #/2025 Padres #US78,Trenton Brooks,100.0,trenton brooks
2025 Topps Update Carlos Duran Rookie RC Gold #/2025 Athletics #US104,Carlos Duran,100.0,carlos duran
2025 Topps Update Paxton Schultz Rookie RC Gold #/2025 Blue Jays  #US350,Paxton Schultz,100.0,paxton schultz
2025 Topps Update Raymond Burgos Rookie RC Gold #/2025 Giants #US115,Raymond Burgos,100.0,raymond burgos
2025 Topps Update Justin Hagenman Rookie RC Gold #/2025 Mets #US108,Justin Hagenman,100.0,justin hagenman
2025 Topps Update Connor Thomas Rookie RC Gold #/2025 Brewers #US63,Connor Thomas,100.0,connor thomas
2025 Topps Update Parker Dunshee Rookie RC Gold #/2025 Braves  #US296,Parker Dunshee,100.0,parker dunshee
2025 Topps Update Sauryn Lao Rookie RC Gold #/2025 Mariners #US265,Sauryn Lao,100.0,sauryn lao
2025 Topps Update Matt Gorski Rookie RC Gold #/2025 Pirates #US190,Matt Gorski,100.0,matt gorski
2025 Topps Update Bryan Sammons Rookie RC Gold #/2025 Tigers #US198,Bryan Sammons,100.0,bryan sammons
2025 Topps Update Marc Church Rookie RC Gold #/2025 Rangers #US227,Marc Church,100.0,marc church
2025 Topps Update Zac Veen Debut Rookie RC Gold #/2025 Rockies #US2,Zac Veen,100.0,zac veen
2025 Topps Update Rhylan Thomas Rookie RC Silver Foilboard #US196 Mariners,Rhylan Thomas,100.0,rhylan thomas
